Age,1990_M,1990_F,1990_Total,1991_M,1991_F,1991_Total,1992_M,1992_F,1992_Total,1993_M,1993_F,1993_Total,1994_M,1994_F,1994_Total,1995_M,1995_F,1995_Total,1996_M,1996_F,1996_Total,1997_M,1997_F,1997_Total,1998_M,1998_F,1998_Total,1999_M,1999_F,1999_Total,2000_M,2000_F,2000_Total,2001_M,2001_F,2001_Total,2002_M,2002_F,2002_Total,2003_M,2003_F,2003_Total,2004_M,2004_F,2004_Total,2005_M,2005_F,2005_Total,2006_M,2006_F,2006_Total,2007_M,2007_F,2007_Total,2008_M,2008_F,2008_Total,2009_M,2009_F,2009_Total,2010_M,2010_F,2010_Total,2011_M,2011_F,2011_Total,2012_M,2012_F,2012_Total,2013_M,2013_F,2013_Total,2014_M,2014_F,2014_Total,2015_M,2015_F,2015_Total,2016_M,2016_F,2016_Total,2017_M,2017_F,2017_Total
0,12254905,10965946,23220851,10690646.89,9034915.433,19725562.32,9928632.181,8563719.011,18492351.19,9642355.342,8376503.182,18018858.52,9714727.417,8352894.874,18067622.29,9178565.131,7873816.649,17052381.78,9204670.791,7924012.315,17128683.11,8916872.238,7619361.377,16535229.35,8741085.672,7469213.151,16210298.82,8354508.197,7000000,15354508.2,7460206,6333593,13793799,7677339.932,6638610.047,14315949.98,7521940.536,6275811.195,13797751.73,7326982.986,6233865.187,13560848.17,7605993.975,6276588.525,13881539.01,7666203.116,6448593.718,14114796.83,7449155.053,6230524.69,13678571.9,7783302.592,6203628.433,13986931.03,7907499.892,6308332.053,14215831.95,7664375.716,6172966.781,13837342.5,7461199,6325235,13786434,7149681.744,6235723.75,13385405.49,8090557.635,6805650.769,14896208.4,7754909.431,6591856.463,14346765.89,7952585.552,6975780.655,14929588.74,7297553.589,6483974.979,13781528.57,7856584.046,6759423.187,14616007.23,9078883.495,8012135.922,17091019.42
1,12304824,11027053,23331877,11691091.96,10150756.85,21841848.82,9596904.818,8172731.615,17769636.43,9059530.165,7661301.308,16720831.47,8943666.202,7488469.253,16432135.45,8111628.436,6699305.501,14810933.94,8214665.246,6795128.237,15009793.48,7873440.516,6220419.714,14093860.23,7150232.383,5899625.246,13050870.27,7195696.721,6052254.098,13247950.82,6332425,5162822,11495247,6919603.845,5748270.145,12668926.4,6267599.47,5069714.016,11337313.49,6382364.208,5054122.958,11435455.92,6001107.333,5042140.607,11043247.94,7659934.757,6171857.274,13831792.03,7111262.088,5755258.849,12866520.94,6944310.164,5581366.406,12525676.57,6896128.164,5700149.951,12596278.11,7242840.779,5767468.499,13010309.28,8574973,7082982,15657955,7980875.107,6504117.624,14484992.73,6904862.034,6020429.907,12925291.94,7833180.083,6890263.324,14723443.41,7561374.58,6585792.217,14147166.8,8416126.859,7224240.684,15640367.54,7780959.173,6799036.216,14581195.78,7858009.709,6894417.476,14752427.18
2,12672092,11508503,24180595,12864631.55,11673576.45,24538208,12181801.73,10613987.35,22795789.08,10163588.58,8852691.577,19016280.16,9880529.724,8262749.93,18143279.65,9552057.301,7877577.302,17429634.6,8433894.931,6951862.582,15386749.5,8695933.856,7098147.649,15794081.5,7806421.391,6735051.067,14541472.46,7535860.656,6344262.295,13880122.95,7701684,6309027,14010711,7113247.512,5860878.147,12973073.25,7298171.017,5816981.034,13114125.59,6871173.489,5782180.662,12652322.91,7003900.612,5381274.651,12385175.26,7434119.057,5949291.834,13383410.89,7543321.944,6259328.68,13802650.62,7555400.521,5958968.857,13514369.38,7492984.716,6137316.229,13630300.94,7494845.361,6229095.074,13723940.44,8507697,7109678,15617375,8874733.119,7374328.599,16247879.37,8549107.26,7088765.841,15637873.1,7683976.653,6643221.579,14325975.25,8781463.8,7429340.876,16212027.21,8806826.252,7552007.76,16358834.01,9127802.152,7858984.835,16987987.38,8257281.553,7292475.728,15550970.87
3,12676790,11617575,24294365,12621474.98,11580847.24,24202322.22,13247194.07,11827529.78,25074723.86,12389171.79,10990942.94,23380114.73,10989634.48,9540876.454,20530510.93,10165538.48,8529951.543,18695490.02,9582618.799,7930956.242,17512583.05,8523200.212,7314064.704,15838269.18,8653998.86,7172510.405,15826509.26,8007172.131,6704918.033,14713114.75,7897234,6557101,14454335,8082518.256,6913289.378,14995807.63,7363864.821,6057174.004,13421038.83,7472388.278,6190552.972,13662941.25,7235555.251,5962498.226,13197009.99,7668989.054,6212717.688,13881706.74,7153360.228,5949131.861,13102492.09,7585564.03,6265072.619,13850636.65,7692314.418,6064832.701,13758279.67,7832760.596,6340206.186,14171821.31,8272491,6978314,15250805,9105291.733,7457093.229,16562384.96,9103238.469,7589661.738,16692900.21,9314207.574,7610597.917,16924805.49,8445266.871,7198281.896,15643548.77,9768522.881,8333276.789,18101799.67,9246641.238,8081057.876,17327699.11,9638349.515,8212378.641,17850728.16
4,11140519,10270212,21410731,13696103.42,12374197.1,26070300.51,12622387.19,11373417.57,23995804.76,13308454.41,12293566.4,25602020.81,14033636.06,12411027.07,26444663.13,11342325.81,9861618.379,21203944.19,10221460.05,8451750.742,18674202.78,9699194.962,8130532.451,17830731.68,8951714.243,7426682.382,16378396.62,8847336.066,7308401.639,16155737.7,8257145,6967137,15224282,8387717.513,6971171.996,15358889.51,8155269.864,6910166.988,15066463.32,7535294.114,6097741.083,13633035.2,7725995.252,6330849.972,14056845.22,8241731.341,6744599.562,14986330.9,7435860.903,6199505.008,13636473.76,7181149.571,5967906.193,13149055.76,7784051.383,6432913.117,14216964.5,7726231.386,6439862.543,14166093.93,8246206,6973835,15220041,8564956.929,7406252.099,15971209.03,9328278.655,7929641.803,17257920.46,9327660.343,7997059.261,17324719.6,9417181.631,7880456.029,17297637.66,9079122.059,7719264.99,16798387.05,10046104.18,8604430.014,18650534.2,9423543.689,8235436.893,17658980.58
5,10405433,9576857,19982290,12335044.77,11546846.53,23881891.3,13339948.91,12523191.05,25863139.96,12836862.43,11478162.72,24315025.15,13750323.38,12127714.39,25878037.77,14126594.15,12500111.95,26626706.1,11194601.78,9899063.457,21092673.24,10353975.98,9006251.856,19360227.84,9845873.03,8328942.268,18174815.3,8780737.705,7488729.508,16269467.21,9157597,7775962,16933559,8745537.332,7655239.296,16399724.22,8326689.633,7052845.718,15380561.82,8556224.889,7194983.856,15751208.74,7710342.911,6245283.844,13956670.24,8496102.899,7005239.479,15501342.38,8123833.135,6376760.334,14500593.47,7722975.573,6471748.517,14194724.09,7241557.478,5949312.078,13190869.56,8269186.712,6576174.112,14845360.82,7988151,6743986,14732137,8319027.741,7174511.133,15494721.23,8296239.525,7209755.188,15505994.71,8663582.781,7379454.898,16043037.68,8848703.186,7436676.082,16285379.27,8271382.531,6988406.693,15259789.22,7995829.844,6709006.605,14704836.45,8571601.942,7416262.136,15989077.67
6,9922498,9133580,19056078,10971925.47,10029178.56,21001104.03,12291948.09,11393385.62,23685333.72,13572288.52,12442490.19,26014778.7,13119308.77,12158299.28,25277608.06,13935097.77,12695368.99,26630367.79,14266793.33,12588347.06,26856132.38,11147345.63,10024576.94,21170918.31,10317762.04,9154241.714,19470991.12,9747950.82,8195696.721,17943647.54,8866012,7604128,16470140,9468543.848,8318258.372,17786802.22,8778334.534,7624587.105,16402921.64,8637693.102,7005235.105,15642928.21,8546177.892,7002857.122,15549035.01,8240415.76,6866252.16,15106667.92,8451755.487,6891908.623,15343664.11,8044719.674,6852702.469,14897422.14,7750074.729,6423852.676,14173927.41,7447880.871,5974799.542,13422680.41,8034452,6770018,14804470,8141674.961,6616441.051,14758116.01,8484982.906,7129902.219,15616095.02,8142593.754,7120183.364,15264000.1,8886601.749,7250850.87,16138675.15,8586303.629,7176360.22,15762663.85,8301930.521,7185563.346,15486293.47,8245145.631,6808252.427,15053398.06
7,10518627,9677860,20196487,10601008.65,9800446.528,20401455.18,10865842.5,10150857.31,21016699.8,12460875.84,11345786.03,23806661.87,14212316.22,12877849.1,27090165.32,13392277.27,12191738.45,25584114.68,13768814.59,12287774.23,26056588.82,14358986.29,12777268.33,27136254.62,11194705.99,9913719.733,21108425.72,10233606.56,9035860.656,19269467.21,9590414,8324342,17914756,9215965.152,8107776.126,17323741.28,9554342.592,8090602.525,17645971.58,8860441.635,7638418.435,16498860.07,8519047.168,7245990.144,15765037.31,9181675.65,7639504.55,16821257.59,8129372.364,6621594.252,14750966.62,8573139.672,6934255.661,15508512.5,8217819.996,6737570.446,14955390.44,7701030.928,6402061.856,14104238.26,7292300,6136861,13429161,8079010.312,6837540.851,14916551.16,8076038.913,6789922.154,14865961.07,8445892.53,7016230.154,15462122.68,8023492.541,7063803.124,15087295.66,8506178.463,7110378.606,15616557.07,8707663.968,7237180.323,15946044.68,8120145.631,6955097.087,15075242.72
8,11419500,10595842,22015342,10519613.02,9562441.571,20082054.59,11067455.44,10123159.68,21190615.12,10984507.96,10245404.74,21229912.7,12290297.24,11279386.08,23569683.32,14510081.74,13274509.47,27784591.21,13262899.93,11925698.05,25188597.99,13817687.25,12609556.01,26427243.26,14142493.34,12690371.37,26832864.71,11262295.08,9766393.443,21028688.52,10014222,8737884,18752106,10017902.51,9037055.243,19056010.16,9286435.048,8254837.035,17542298.55,9846310.141,8183946.091,18030256.23,8885311.935,7695734.06,16581046,9215261.673,7815715.088,17030976.76,9208414.158,7557723.939,16766138.1,8195537.221,6870577.141,15067231.53,8483970.451,7042227.775,15526198.23,8237113.402,6697594.502,14934707.9,7423559,6243397,13666956,7280922.801,6064282.729,13346387.88,8155891.882,6734267.055,14890158.94,8148708.649,6611424.126,14760132.78,8325458.51,6974558.121,15300016.63,8101011.125,6822122.644,14923198.65,8483190.138,7081128.997,15563118.74,8483009.709,7014563.107,15497572.82
9,9364817,8721729,18086546,11430419.87,10602038.98,22032458.85,10594663.43,9757937.518,20352600.95,10995539.35,10228857.65,21224397,11243972,10250767.89,21494739.88,12531384.75,11498293.92,24029678.67,14230089.72,13110133.55,27340223.26,13072522.35,12248020.48,25320542.82,13659465.32,12584044.45,26243509.76,13891393.44,12622950.82,26514344.26,10674963,9407063,20082026,10549370.18,9400137.118,19949507.3,10160983.81,8942569.044,19103552.85,9674092.525,8064321.879,17739445.65,9572971.426,8111042.827,17684014.25,9519161.006,8102357.087,17621518.09,9228355.382,7612008.383,16839255.92,9106028.338,7420223.312,16526251.65,8301629.076,6790800.537,15092429.61,8098510.882,6761741.123,14859106.53,7726203,6522622,14248825,7481922.618,6455641.197,13937563.82,7219434.336,6080924.581,13300358.92,8045978.418,6796093.946,14842072.36,7880456.029,6490434.542,14370890.57,7962430.271,6689964.779,14652395.05,8125472.484,6795435.032,14922107.91,8259708.738,6962378.641,15222087.38
