1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
-227564.3398,-213036.073,-220058.9792,-232443.275,-207777.6563,-173934.2942,-150732.4113,-124014.2201,-98882.82282,-167364.1393,-216562.6443,-292045.3796,-347703.3436,-406825.4452,-423386.9398,-436147.2222,-429507.1576,-444784.4066,-459171.3718,-419271.4777,-390156.0822,-353374.705,-363467.4851,-321367.556,-340394.6233,-319731.4628,-346399.3714,-411893.568
-228652.3946,-235891.9672,-211458.6735,-215698.726,-188969.5577,-151071.5262,-132086.1827,-105703.9517,-79610.30863,-144402.6639,-180475.3779,-258446.0986,-285700.2998,-343063.6777,-336819.0622,-427402.3738,-404008.7574,-398316.5149,-406859.7831,-394212.3711,-443120.1265,-382403.8081,-315377.1234,-329805.1323,-322555.403,-362856.527,-345574.3401,-355533.4951
-236969.831,-265012.6464,-271269.89,-245310.0141,-208647.716,-177782.2729,-135403.3956,-118455.6113,-88702.98199,-151293.3402,-219968.1627,-264650.6943,-330475.9648,-379569.6872,-377747.8455,-413547.3965,-433403.2296,-429756.9462,-440258.7205,-415835.3952,-441971.7125,-428944.0152,-381564.1037,-320901.8457,-369634.2204,-379524.9491,-402615.301,-374778.3981
-238084.777,-261385.0799,-298389.2139,-301603.48,-236100.8757,-190693.9982,-154110.7309,-118787.0189,-96541.70651,-160372.9508,-226933.0595,-305914.4757,-338210.1784,-409888.2375,-402508.8046,-428944.7383,-411418.2516,-440450.2455,-444392.4335,-429406.1856,-431597.7815,-437246.963,-407306.7651,-379115.643,-356672.9119,-419961.7523,-410666.469,-430202.5485
-209825.1638,-281559.2456,-285550.0767,-330266.0685,-304113.626,-216280.2307,-164332.9845,-133730.4876,-99908.21941,-176097.541,-239021.2274,-313321.346,-379674.8756,-408991.0559,-428733.7793,-463077.6249,-428185.276,-418139.9733,-459207.9534,-429232.646,-430727.1603,-421639.9183,-421093.2592,-388073.7191,-394386.1386,-389722.5795,-442017.6605,-425581.432
-195826.442,-257924.4261,-307771.3655,-313663.8244,-297597.4344,-271592.4022,-185615.5245,-145201.7088,-110866.3733,-177337.1926,-265856.8763,-334554.374,-387590.1578,-472536.2623,-425678.4425,-478991.4795,-455318.6349,-451392.2261,-426065.0867,-449814.433,-416919.4771,-409060.6404,-378346.271,-359364.044,-371306.6473,-354027.11,-348504.6238,-385336.7718
-186749.5644,-226811.9236,-281855.4712,-335590.6453,-290692.4927,-271629.7515,-236333.9649,-158781.8873,-118773.0458,-195585.7582,-258581.198,-362850.7653,-413353.6253,-469287.8462,-474245.5679,-466796.0387,-481791.0531,-473738.0241,-457817.8552,-406707.2165,-418966.501,-389614.2627,-381032.7185,-341913.6022,-367961.7935,-365693.8013,-367025.1553,-362786.8932
-197925.5726,-220335.716,-250098.7277,-307105.9381,-311536.9012,-260957.9698,-229297.9816,-203521.9096,-128761.3969,-210037.1926,-281261.6692,-353404.3221,-444678.4839,-494965.8021,-480833.638,-519776.8594,-463180.3517,-493170.6975,-483059.1113,-427358.4192,-380045.2563,-393796.9507,-362729.45,-346351.5481,-343990.3412,-362304.124,-377921.259,-363313.3495
-215750.3516,-216886.1896,-252168.3199,-273865.8738,-271051.3582,-283402.8303,-221659.6623,-198204.3245,-163680.4747,-229212.7049,-294408.0642,-388742.6073,-442065.9234,-540907.687,-505721.9029,-526257.1819,-526456.7363,-479137.9626,-501496.2027,-452521.6495,-386774.8548,-352344.6401,-363319.8781,-330626.9742,-348840.3792,-346218.2086,-368845.9141,-373491.5049
-177248.1508,-237950.5555,-242195.9513,-273794.7213,-247189.5087,-245102.7224,-240593.9647,-189904.0712,-160085.4096,-289006.3525,-315287.8082,-406969.9489,-481409.5319,-532183.3694,-539362.4347,-544504.9091,-528752.6359,-525534.8025,-487485.4765,-450230.9278,-403241.7475,-367951.6847,-324528.7576,-332462.4209,-327656.305,-339935.5652,-353653.9575,-366852.3058
-188395.8076,-223929.8999,-274358.9481,-272573.2705,-237248.614,-226131.3391,-210171.63,-204696.9001,-155211.6872,-279524.6926,-411497.6908,-463283.632,-516148.826,-601885.0978,-560240.5699,-610405.7232,-562564.9755,-543333.2839,-548613.2141,-460157.3883,-409058.3031,-379219.971,-333001.3996,-304738.9561,-342345.788,-349904.4074,-367963.9841,-385453.7621
